Position Number, FEN, Variance, Standard Deviation, MAD, IQR
69, 2r1r3/5pk1/6bp/8/Np1q2P1/1P1Q2P1/5RBP/1N1R3K b - - 0 35, 1041, 343.8664857179309, 246.0, 274.0
70, 2r1r3/5pk1/7p/8/Np1q2P1/1P1b2P1/5RBP/1N1R3K w - - 0 36, 101, 36.85973412817841, 42.0, 43.0
71, 2r1r3/5pk1/7p/8/Np1q2P1/1P1b2P1/3R2BP/1N1R3K b - - 1 36, 103, 38.7556447501522, 29.0, 61.0
72, 2r1r3/5pk1/7p/8/Np4P1/1P1bq1P1/3R2BP/1N1R3K w - - 2 37, 252, 82.90958931269651, 53.0, 67.0
73, 2r1r3/5pk1/7p/8/Np4P1/1P1Rq1P1/6BP/1N1R3K b - - 0 37, 214, 84.67915918335514, 68.0, 145.0
74, 4r3/5pk1/7p/8/Np4P1/1P1Rq1P1/6BP/1NrR3K w - - 1 38, 14778, 5893.864423279518, 31.0, 50.0
75, 4r3/5pk1/7p/8/1p4P1/1P1Rq1P1/1N4BP/1NrR3K b - - 2 38, 14944, 5920.6641654463065, 59.0, 108.0
76, 4r3/5pk1/7p/8/1p4P1/1P1R2P1/1N3qBP/1NrR3K w - - 3 39, 0, 0.0, 0.0, 0.0
77, 4r3/5pk1/7p/8/1p4P1/1P1R2P1/1N1N1qBP/2rR3K b - - 4 39, 15005, 7316.273767431068, 0.0, 14863.0
78, 4r3/5pk1/7p/8/1p4P1/1P1R2P1/1N1N1qBP/3r3K w - - 0 40, 0, 0.0, 0.0, 0.0
79, 4r3/5pk1/7p/8/1p4P1/1P1R2P1/3N1qBP/3N3K b - - 0 40, 15367, 6083.530244849613, 67.0, 509.0
80, 8/5pk1/7p/8/1p4P1/1P1R2P1/3N1qBP/3Nr2K w - - 1 41, 0, 0.0, 0.0, 0.0
