Position Number, FEN, Variance, Standard Deviation, MAD, IQR
55, r4r2/pp3p1k/8/2pbpQ2/8/3P3P/PPP5/R5K1 b - - 2 28, 116, 46.80010683748489, 7.5, 32.0
56, r4r2/pp3p2/7k/2pbpQ2/8/3P3P/PPP5/R5K1 w - - 3 29, 112, 41.68165063910018, 54.0, 58.0
57, r4r2/pp3p2/5Q1k/2pbp3/8/3P3P/PPP5/R5K1 b - - 4 29, 110, 55.0, 55.0, 55.0
58, r4r2/pp3p1k/5Q2/2pbp3/8/3P3P/PPP5/R5K1 w - - 5 30, 46, 15.304901175767194, 8.0, 9.0
59, r4r2/pp3p1k/5Q2/2pbp3/8/3P3P/PPP2K2/R7 b - - 6 30, 14796, 7222.886724849006, 0.0, 14691.0
60, r5r1/pp3p1k/5Q2/2pbp3/8/3P3P/PPP2K2/R7 w - - 7 31, 106, 42.96975680638651, 44.0, 84.0
61, r5r1/pp3p1k/8/2pbp3/7Q/3P3P/PPP2K2/R7 b - - 8 31, 1, 0.5, 0.5, 0.5
62, r5r1/pp3p2/6k1/2pbp3/7Q/3P3P/PPP2K2/R7 w - - 9 32, 47, 15.932357013323546, 15.0, 15.0
63, r5r1/pp3p2/6k1/2pbp3/7Q/3P3P/PPP2K2/6R1 b - - 10 32, 125, 62.5, 62.5, 62.5
64, r5r1/pp3p2/8/2pbpk2/7Q/3P3P/PPP2K2/6R1 w - - 11 33, 120, 50.1533647924045, 24.0, 95.0
65, r5r1/pp3p1Q/8/2pbpk2/8/3P3P/PPP2K2/6R1 b - - 12 33, 189, 68.85128902206552, 32.0, 51.0
66, r7/pp3p1Q/6r1/2pbpk2/8/3P3P/PPP2K2/6R1 w - - 13 34, 56, 19.610201426808445, 14.0, 16.0
67, r7/pp3p1Q/6R1/2pbpk2/8/3P3P/PPP2K2/8 b - - 0 34, 14835, 7101.503744982468, 0.0, 14143.0
68, r7/pp5Q/6p1/2pbpk2/8/3P3P/PPP2K2/8 w - - 0 35, 56, 20.960916010518243, 4.0, 15.0
69, r7/pp1Q4/6p1/2pbpk2/8/3P3P/PPP2K2/8 b - - 1 35, 14836, 6392.868898233406, 59.0, 3722.5
70, r7/pp1Q4/4b1p1/2p1pk2/8/3P3P/PPP2K2/8 w - - 2 36, 131, 45.74101004569095, 39.0, 59.0
71, r7/pQ6/4b1p1/2p1pk2/8/3P3P/PPP2K2/8 b - - 0 36, 62, 25.325086376950424, 2.0, 38.0
72, 7r/pQ6/4b1p1/2p1pk2/8/3P3P/PPP2K2/8 w - - 1 37, 49, 18.903967837467352, 9.0, 29.0
73, 7r/pQ6/4b1p1/2p1pk2/8/3P2KP/PPP5/8 b - - 2 37, 117, 46.98510402244524, 17.0, 78.0
74, 7r/pQ6/4b3/2p1pkp1/8/3P2KP/PPP5/8 w - - 0 38, 39, 13.588230201170422, 10.0, 12.0
75, 7r/p5Q1/4b3/2p1pkp1/8/3P2KP/PPP5/8 b - - 1 38, 72, 25.93067681338071, 21.0, 35.0
76, 8/p5Q1/4b3/2p1pkp1/7r/3P2KP/PPP5/8 w - - 2 39, 102, 36.4603894658299, 18.0, 18.0
77, 8/p5Q1/4b3/2p1pkp1/7r/1P1P2KP/P1P5/8 b - - 0 39, 80, 29.620263334413487, 15.0, 39.0
78, 8/6Q1/4b3/p1p1pkp1/7r/1P1P2KP/P1P5/8 w - a6 0 40, 35, 12.718490476467714, 4.0, 6.0
79, 8/6Q1/4b3/p1p1pkp1/P6r/1P1P2KP/2P5/8 b - a3 0 40, 79, 27.374440633554503, 25.0, 29.0
80, 8/6Q1/4b3/p1p2kp1/P3p2r/1P1P2KP/2P5/8 w - - 0 41, 113, 41.859765885632946, 32.0, 61.0
81, 8/6Q1/4b3/p1p2kp1/P3P2r/1P4KP/2P5/8 b - - 0 41, 22, 11.0, 11.0, 11.0
82, 8/6Q1/4b3/p1p3p1/P3k2r/1P4KP/2P5/8 w - - 0 42, 79, 28.74439075715469, 20.0, 32.0
83, 8/8/4b1Q1/p1p3p1/P3k2r/1P4KP/2P5/8 b - - 1 42, 14810, 5441.059882045041, 2923.0, 2930.0
84, 8/8/6Q1/p1p2bp1/P3k2r/1P4KP/2P5/8 w - - 2 43, 330, 114.40734242171696, 68.0, 130.0
85, 8/8/2Q5/p1p2bp1/P3k2r/1P4KP/2P5/8 b - - 3 43, 203, 85.84611555309625, 54.0, 101.5
86, 8/8/2Q5/p1p2bp1/P2k3r/1P4KP/2P5/8 w - - 4 44, 421, 173.87351724745204, 183.0, 352.0
87, 8/8/2Q5/p1p2bp1/P2k3r/1PP3KP/8/8 b - - 0 44, 316, 113.24641274671794, 86.0, 116.5
88, 8/8/2Q5/p1p1kbp1/P6r/1PP3KP/8/8 w - - 1 45, 165, 57.97102724637541, 33.0, 50.0
89, 8/8/8/p1Q1kbp1/P6r/1PP3KP/8/8 b - - 0 45, 14791, 6962.900592904272, 41.0, 7395.5
90, 8/8/5k2/p1Q2bp1/P6r/1PP3KP/8/8 w - - 1 46, 38, 13.51147660324363, 13.0, 19.0
91, 8/8/1Q3k2/p4bp1/P6r/1PP3KP/8/8 b - - 2 46, 101, 37.71259736480637, 8.0, 12.0
92, 8/8/1Q2bk2/p5p1/P6r/1PP3KP/8/8 w - - 3 47, 52, 19.197916553626335, 24.0, 25.0
93, 8/8/1Q2bk2/p5p1/P6r/1PP4P/6K1/8 b - - 4 47, 52, 21.14142852316276, 19.0, 41.0
94, 8/8/1Q2bk2/p5p1/P3r3/1PP4P/6K1/8 w - - 5 48, 39, 13.784048752090222, 9.0, 13.0
95, 8/8/1Q2bk2/p5p1/PP2r3/2P4P/6K1/8 b - - 0 48, 118, 45.56050921576711, 31.0, 73.0
96, 8/8/1Q2bk2/6p1/Pp2r3/2P4P/6K1/8 w - - 0 49, 313, 111.44397695703432, 79.0, 136.0
97, 8/8/1Q2bk2/6p1/PP2r3/7P/6K1/8 b - - 0 49, 45, 15.341447128612085, 10.0, 18.0
98, 8/8/1Q2bk2/6p1/PP6/7P/4r1K1/8 w - - 1 50, 41, 14.551975810864997, 8.0, 13.0
99, 8/8/1Q2bk2/6p1/PP6/6KP/4r3/8 b - - 2 50, 112, 38.81030790911095, 24.0, 40.0
100, 8/8/1Q2bk2/6p1/PP6/6KP/r7/8 w - - 3 51, 88, 35.8072618333209, 24.0, 64.0
101, 8/8/4bk2/6p1/PP1Q4/6KP/r7/8 b - - 4 51, 46, 18.688231591030757, 17.5, 31.0
102, 8/8/4b3/5kp1/PP1Q4/6KP/r7/8 w - - 5 52, 108, 40.725422035873365, 36.0, 65.0
103, 8/8/4b3/5kp1/PP6/3Q2KP/r7/8 b - - 6 52, 7, 3.5, 3.5, 3.5
104, 8/8/4b3/4k1p1/PP6/3Q2KP/r7/8 w - - 7 53, 118, 43.79954337661524, 40.0, 70.0
105, 8/8/4b3/P3k1p1/1P6/3Q2KP/r7/8 b - - 0 53, 141, 54.874402046856055, 8.0, 66.0
106, 8/8/8/P2bk1p1/1P6/3Q2KP/r7/8 w - - 1 54, 1128, 443.75804218064604, 20.0, 36.0
107, 8/8/8/P2bk1p1/1P6/4Q1KP/r7/8 b - - 2 54, 55, 19.536824204563032, 12.5, 15.25
108, 8/8/8/P2b1kp1/1P6/4Q1KP/r7/8 w - - 3 55, 15852, 6057.505909200584, 563.0, 4028.0
109, 8/8/8/P2b1kp1/1P6/3Q2KP/r7/8 b - - 4 55, 3777, 1618.9870868848832, 39.5, 975.75
110, 8/8/8/P2bk1p1/1P6/3Q2KP/r7/8 w - - 5 56, 1127, 444.1769917499104, 15.0, 25.0
111, 8/8/8/P2bk1p1/1P4K1/3Q3P/r7/8 b - - 6 56, 240, 83.61243926593697, 28.0, 36.0
112, 8/8/8/P2bk1p1/1P4K1/3Q3P/6r1/8 w - - 7 57, 543, 271.5, 271.5, 271.5
113, 8/8/8/P2bk1pK/1P6/3Q3P/6r1/8 b - - 8 57, 125, 41.4680599980274, 31.0, 33.0
114, 8/8/8/P3k1pK/1P2b3/3Q3P/6r1/8 w - - 9 58, 96, 33.89631248380862, 31.0, 31.0
115, 8/8/8/P3k1pK/1P2b3/2Q4P/6r1/8 b - - 10 58, 282, 103.16588583441718, 101.0, 161.0
116, 8/8/8/P5pK/1P2bk2/2Q4P/6r1/8 w - - 11 59, 111, 45.24334205162125, 27.0, 81.0
117, 8/8/P7/6pK/1P2bk2/2Q4P/6r1/8 b - - 0 59, 219, 81.72784103351806, 85.0, 119.0
118, 8/8/P7/6pK/1P2bk2/2Q4P/2r5/8 w - - 1 60, 295, 129.55369543166262, 117.0, 282.0
