Position Number, FEN, Variance, Standard Deviation, MAD, IQR
41, r1bq1r2/ppp3k1/1n1n4/3PN3/3PPPpp/1Q1B4/P5PP/2R2RK1 b - - 0 21, 37, 13.230268326832983, 10.0, 18.0
42, r1bq1r2/ppp3k1/1n1n4/3PN3/3PPP1p/1Q1B2p1/P5PP/2R2RK1 w - - 0 22, 90, 29.59459410095026, 6.0, 8.0
43, r1bq1r2/ppp3k1/1n1n4/3PNP2/3PP2p/1Q1B2p1/P5PP/2R2RK1 b - - 0 22, 153, 49.97839533238337, 25.0, 32.0
44, r1b2r2/ppp3k1/1n1n4/3PNPq1/3PP2p/1Q1B2p1/P5PP/2R2RK1 w - - 1 23, 41, 13.899640283115243, 7.0, 13.0
45, r1b2r2/ppR3k1/1n1n4/3PNPq1/3PP2p/1Q1B2p1/P5PP/5RK1 b - - 0 23, 382, 146.2116274446051, 77.0, 221.0
46, r1b2rk1/ppR5/1n1n4/3PNPq1/3PP2p/1Q1B2p1/P5PP/5RK1 w - - 1 24, 57, 20.42939059296679, 17.0, 27.0
47, r1b2rk1/ppR5/1n1n4/3PNPq1/3PP2p/1Q4p1/P5PP/1B3RK1 b - - 2 24, 154, 59.60738209316024, 67.0, 107.0
48, r1b2rk1/ppR5/1n1n4/3PNP2/3PP2p/1Q4p1/P2q2PP/1B3RK1 w - - 3 25, 218, 83.66217783443126, 12.0, 91.0
49, r1b2rk1/ppR5/1n1n4/3PNP2/3PP2p/5Qp1/P2q2PP/1B3RK1 b - - 4 25, 107, 37.0642685075532, 34.0, 42.0
50, r4rk1/ppR5/1n1n4/3PNb2/3PP2p/5Qp1/P2q2PP/1B3RK1 w - - 0 26, 959, 339.3401832969388, 80.0, 137.0
51, r4rk1/ppR5/1n1n4/3PNP2/3P3p/5Qp1/P2q2PP/1B3RK1 b - - 0 26, 1335, 490.9645201030315, 447.0, 598.0
52, r4rk1/ppR5/1n1n4/3PNP2/3q3p/5Qp1/P5PP/1B3RK1 w - - 0 27, 1859, 749.1513114852032, 217.0, 731.75
53, r4rk1/ppR5/1n1n4/3PNP2/3q3p/5Qp1/P5PP/1B3R1K b - - 1 27, 2873, 1076.1359393682567, 240.0, 367.0
54, 2r2rk1/ppR5/1n1n4/3PNP2/3q3p/5Qp1/P5PP/1B3R1K w - - 2 28, 759, 294.0262573308717, 148.0, 460.0
55, 2r2rk1/pp4R1/1n1n4/3PNP2/3q3p/5Qp1/P5PP/1B3R1K b - - 3 28, 0, 0.0, 0.0, 0.0
56, 2r2r2/pp4k1/1n1n4/3PNP2/3q3p/5Qp1/P5PP/1B3R1K w - - 0 29, 15837, 6239.752142513355, 61.0, 978.0
57, 2r2r2/pp4k1/1n1n1P2/3PN3/3q3p/5Qp1/P5PP/1B3R1K b - - 0 29, 0, 0.0, 0.0, 0.0
58, 2r2r2/pp6/1n1n1P1k/3PN3/3q3p/5Qp1/P5PP/1B3R1K w - - 1 30, 15903, 6343.407715100773, 78.0, 80.0
59, 2r2r2/pp6/1n1n1P1k/3P4/3q2Np/5Qp1/P5PP/1B3R1K b - - 2 30, 0, 0.0, 0.0, 0.0
60, 2r2r2/pp6/1n1n1P2/3P2k1/3q2Np/5Qp1/P5PP/1B3R1K w - - 3 31, 15898, 6321.410652694539, 96.0, 249.0
61, 2r2r2/pp6/1n1n1P2/3P1Qk1/3q2Np/6p1/P5PP/1B3R1K b - - 4 31, 0, 0.0, 0.0, 0.0
62, 2r2r2/pp6/1n3P2/3P1nk1/3q2Np/6p1/P5PP/1B3R1K w - - 0 32, 30600, 11967.021350361167, 0.0, 11800.0
63, 2r2r2/pp6/1n3P2/3P1Rk1/3q2Np/6p1/P5PP/1B5K b - - 0 32, 0, 0.0, 0.0, 0.0
64, 2r2r2/pp6/1n3Pk1/3P1R2/3q2Np/6p1/P5PP/1B5K w - - 1 33, 30600, 11292.603678514535, 11377.0, 14421.0
65, 2r2r2/pp6/1n3Pk1/3PR3/3q2Np/6p1/P5PP/1B5K b - - 2 33, 0, 0.0, 0.0, 0.0
