Processing window size 3...
Building nouns list from Inaugural corpus...
Word: existence, Uniqueness Value: 34
Word: year, Uniqueness Value: 34
Word: population, Uniqueness Value: 34
Word: conditions, Uniqueness Value: 34
Word: members, Uniqueness Value: 34
Word: problems, Uniqueness Value: 34
Word: instrument, Uniqueness Value: 33
Word: objects, Uniqueness Value: 33
Word: destiny, Uniqueness Value: 33
Word: exercise, Uniqueness Value: 33
Word: industry, Uniqueness Value: 33
Word: education, Uniqueness Value: 33
Word: community, Uniqueness Value: 33
Word: women, Uniqueness Value: 33
Word: none, Uniqueness Value: 32
Word: truth, Uniqueness Value: 32
Word: fear, Uniqueness Value: 32
Word: use, Uniqueness Value: 32
Word: view, Uniqueness Value: 32
Word: dangers, Uniqueness Value: 32
Word: object, Uniqueness Value: 32
Word: aid, Uniqueness Value: 32
Word: south, Uniqueness Value: 32
Word: fact, Uniqueness Value: 31
Word: generations, Uniqueness Value: 31
Word: fathers, Uniqueness Value: 31
Word: arms, Uniqueness Value: 31
Word: dignity, Uniqueness Value: 31
Word: thought, Uniqueness Value: 30
Word: portion, Uniqueness Value: 30
Word: favor, Uniqueness Value: 30
Word: property, Uniqueness Value: 30
Word: extent, Uniqueness Value: 30
Word: mr, Uniqueness Value: 30
Word: tariff, Uniqueness Value: 30
Word: almighty, Uniqueness Value: 29
Word: consideration, Uniqueness Value: 29
Word: form, Uniqueness Value: 29
Word: presence, Uniqueness Value: 29
Word: hearts, Uniqueness Value: 29
Word: election, Uniqueness Value: 29
Word: position, Uniqueness Value: 29
Word: humanity, Uniqueness Value: 29
Word: rule, Uniqueness Value: 29
Word: days, Uniqueness Value: 29
Word: citizenship, Uniqueness Value: 29
Word: ideals, Uniqueness Value: 29
Word: fellow, Uniqueness Value: 28
Word: opinions, Uniqueness Value: 28
Word: devotion, Uniqueness Value: 28
Word: growth, Uniqueness Value: 28
Word: self, Uniqueness Value: 28
Word: ability, Uniqueness Value: 28
Word: responsibilities, Uniqueness Value: 28
Word: views, Uniqueness Value: 27
Word: desire, Uniqueness Value: 27
Word: departments, Uniqueness Value: 27
Word: sovereignty, Uniqueness Value: 27
Word: conduct, Uniqueness Value: 27
Word: enterprise, Uniqueness Value: 27
Word: expression, Uniqueness Value: 27
Word: preservation, Uniqueness Value: 26
Word: chief, Uniqueness Value: 26
Word: equality, Uniqueness Value: 26
Word: differences, Uniqueness Value: 26
Word: forces, Uniqueness Value: 26
Word: case, Uniqueness Value: 26
Word: obligation, Uniqueness Value: 26
Word: cooperation, Uniqueness Value: 26
Word: past, Uniqueness Value: 25
Word: harmony, Uniqueness Value: 25
Word: parts, Uniqueness Value: 25
Word: number, Uniqueness Value: 25
Word: intercourse, Uniqueness Value: 25
Word: conscience, Uniqueness Value: 25
Word: family, Uniqueness Value: 25
Word: debt, Uniqueness Value: 25
Word: capacity, Uniqueness Value: 25
Word: cost, Uniqueness Value: 25
Word: slavery, Uniqueness Value: 25
Word: washington, Uniqueness Value: 25
Word: act, Uniqueness Value: 24
Word: communities, Uniqueness Value: 24
Word: department, Uniqueness Value: 24
Word: degree, Uniqueness Value: 24
Word: integrity, Uniqueness Value: 24
Word: difference, Uniqueness Value: 24
Word: individuals, Uniqueness Value: 24
Word: credit, Uniqueness Value: 24
Word: result, Uniqueness Value: 24
Word: majority, Uniqueness Value: 24
Word: something, Uniqueness Value: 24
Word: determination, Uniqueness Value: 24
Word: science, Uniqueness Value: 24
Word: destruction, Uniqueness Value: 24
Word: one, Uniqueness Value: 24
Word: improvement, Uniqueness Value: 24
Word: terms, Uniqueness Value: 24
Word: basis, Uniqueness Value: 24
Word: capital, Uniqueness Value: 24
Word: measure, Uniqueness Value: 24
Word: need, Uniqueness Value: 24
Word: feeling, Uniqueness Value: 24
Word: methods, Uniqueness Value: 24
Word: story, Uniqueness Value: 24
Word: expenditures, Uniqueness Value: 23
Word: providence, Uniqueness Value: 23
Word: age, Uniqueness Value: 23
Word: officers, Uniqueness Value: 23
Word: events, Uniqueness Value: 23
Word: treaty, Uniqueness Value: 23
